date;conteiner;kg;value_usd;country;english;macro_region;region;goods_type;name_en;all_country_borders_points
27.08.2019;0.0;1330000;235410;Буркина-Фасо;Burkina Faso;Африка;Западная Африка;азотные;Burkina Faso;[12.2737935381,-1.74444829228]
27.08.2019;0.0;277500;51615;Либерия;Liberia;Африка;Западная Африка;азотные;Liberia;[6.32996015995,-9.34876519206]
27.08.2019;1.0;300000;53235,01;Малайзия;Malaysia;Азия;Юго-Восточная Азия;азотные;Malaysia;[5.98010916312,117.072018475]
27.08.2019;0.0;137830;87312,5;Бразилия;Brazil;Америка;Южная Америка;сложные и комплексные;Brazil;[-10.8279176405,-52.8483115037]
27.08.2019;0.0;3170215;768220,99;Бразилия;Brazil;Америка;Южная Америка;азотные;Brazil;[-10.8279176405,-52.8483115037]
27.08.2019;0.0;2718900;680574,48;Латвия;Latvia;Европа;Северная Европа;азотные;Latvia;[56.9091738905,24.5669304062]
27.08.2019;1.0;13750;2881,16;Коста-Рика;Costa Rica;Америка;Центральная Америка;азотные;Costa Rica;[9.80581668606,-84.2601363294]
27.08.2019;0.0;5496158;1343535,82;Бразилия;Brazil;Америка;Южная Америка;сложные и комплексные;Brazil;[-10.8279176405,-52.8483115037]
27.08.2019;0.0;2707000;657801;Турция;Turkey;Азия;Западная Азия;азотные;Turkey;[39.1002805086,34.874882785]
27.08.2019;0.0;21968050;5037930,56;Финляндия;Finland;Европа;Северная Европа;азотные;Finland;[64.1287711419,25.7296255933]
27.08.2019;0.0;41000;13982,89;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
27.08.2019;0.0;110264;69850;Бразилия;Brazil;Америка;Южная Америка;сложные и комплексные;Brazil;[-10.8279176405,-52.8483115037]
27.08.2019;0.0;8942,868;3057,25;Молдова, Республика;Moldova;Европа;Восточная Европа;азотные;Moldova;[47.2023352434,28.4649474852]
27.08.2019;0.0;6628634;1952845,81;Бразилия;Brazil;Америка;Южная Америка;сложные и комплексные;Brazil;[-10.8279176405,-52.8483115037]
27.08.2019;1.0;195000;56617,59;Монголия;Mongolia;Азия;Восточная Азия;азотные;Mongolia;[46.8355124942,103.069689273]
27.08.2019;0.0;2356900;664645,8;Таиланд;Thailand;Азия;Юго-Восточная Азия;сложные и комплексные;Thailand;[14.1518739329,100.898116007]
27.08.2019;0.0;552000;193200;Молдова, Республика;Moldova;Европа;Восточная Европа;сложные и комплексные;Moldova;[47.2023352434,28.4649474852]
27.08.2019;0.0;333750;135168,75;Азербайджан;Azerbaijan;Азия;Западная Азия;сложные и комплексные;Azerbaijan;[40.314323219,48.0428025986]
27.08.2019;1.0;50000;8872,5;Таиланд;Thailand;Азия;Юго-Восточная Азия;азотные;Thailand;[14.1518739329,100.898116007]
